,zipcode,borough,count
0,10000,MANHATTAN,1
1,10001,MANHATTAN,117
2,10002,MANHATTAN,329
3,10003,MANHATTAN,219
4,10004,MANHATTAN,11
5,10005,MANHATTAN,10
6,10006,MANHATTAN,8
7,10007,MANHATTAN,22
8,10009,MANHATTAN,222
9,10010,MANHATTAN,148
10,10011,MANHATTAN,214
11,10012,MANHATTAN,118
12,10013,MANHATTAN,158
13,10014,MANHATTAN,288
14,10016,MANHATTAN,158
15,10017,MANHATTAN,34
16,10018,MANHATTAN,86
17,10019,MANHATTAN,138
18,10020,MANHATTAN,9
19,10021,MANHATTAN,128
20,10022,MANHATTAN,80
21,10023,MANHATTAN,157
22,10024,MANHATTAN,269
23,10025,MANHATTAN,528
24,10026,MANHATTAN,359
25,10027,MANHATTAN,272
26,10028,MANHATTAN,238
27,10029,MANHATTAN,477
28,10030,MANHATTAN,204
29,10031,MANHATTAN,387
30,10032,MANHATTAN,267
31,10033,MANHATTAN,210
32,10034,MANHATTAN,279
33,10035,MANHATTAN,264
34,10036,MANHATTAN,127
35,10037,MANHATTAN,67
36,10038,MANHATTAN,72
37,10039,MANHATTAN,55
38,10040,MANHATTAN,207
39,10044,MANHATTAN,4
40,10065,MANHATTAN,136
41,10069,MANHATTAN,6
42,10075,MANHATTAN,38
43,10115,MANHATTAN,1
44,10121,MANHATTAN,1
45,10128,MANHATTAN,338
46,10174,MANHATTAN,1
47,10271,MANHATTAN,1
48,10280,MANHATTAN,1
49,10282,MANHATTAN,7
50,10301,STATEN ISLAND,135
51,10302,STATEN ISLAND,115
52,10303,STATEN ISLAND,129
53,10304,STATEN ISLAND,147
54,10305,STATEN ISLAND,127
55,10306,STATEN ISLAND,233
56,10307,STATEN ISLAND,43
57,10308,STATEN ISLAND,94
58,10309,STATEN ISLAND,58
59,10310,STATEN ISLAND,132
60,10312,STATEN ISLAND,117
61,10314,STATEN ISLAND,306
62,10451,BRONX,441
63,10452,BRONX,351
64,10453,BRONX,383
65,10454,BRONX,187
66,10455,BRONX,246
67,10456,BRONX,434
68,10457,BRONX,467
69,10458,BRONX,362
70,10459,BRONX,269
71,10460,BRONX,267
72,10461,BRONX,203
73,10462,BRONX,331
74,10463,BRONX,258
75,10464,BRONX,50
76,10465,BRONX,132
77,10466,BRONX,230
78,10467,BRONX,546
79,10468,BRONX,391
80,10469,BRONX,233
81,10470,BRONX,66
82,10471,BRONX,52
83,10472,BRONX,274
84,10473,BRONX,152
85,10474,BRONX,126
86,10475,BRONX,12
87,11001,QUEENS,7
88,11004,QUEENS,15
89,11040,QUEENS,2
90,11101,QUEENS,137
91,11102,QUEENS,54
92,11103,QUEENS,244
93,11104,QUEENS,62
94,11105,QUEENS,73
95,11106,QUEENS,73
96,11201,BROOKLYN,156
97,11203,BROOKLYN,378
98,11204,BROOKLYN,153
99,11205,BROOKLYN,288
100,11206,BROOKLYN,393
101,11207,BROOKLYN,489
102,11208,BROOKLYN,338
103,11209,BROOKLYN,106
104,11210,BROOKLYN,278
105,11211,BROOKLYN,387
106,11212,BROOKLYN,350
107,11213,BROOKLYN,439
108,11214,BROOKLYN,176
109,11215,BROOKLYN,364
110,11216,BROOKLYN,693
111,11217,BROOKLYN,299
112,11218,BROOKLYN,143
113,11219,BROOKLYN,160
114,11220,BROOKLYN,115
115,11221,BROOKLYN,874
116,11222,BROOKLYN,182
117,11223,BROOKLYN,126
118,11224,BROOKLYN,83
119,11225,BROOKLYN,231
120,11226,BROOKLYN,566
121,11228,BROOKLYN,64
122,11229,BROOKLYN,92
123,11230,BROOKLYN,118
124,11231,BROOKLYN,133
125,11232,BROOKLYN,67
126,11233,BROOKLYN,506
127,11234,BROOKLYN,192
128,11235,BROOKLYN,253
129,11236,BROOKLYN,205
130,11237,BROOKLYN,266
131,11238,BROOKLYN,619
132,11239,BROOKLYN,2
133,11249,BROOKLYN,127
134,11354,QUEENS,79
135,11355,QUEENS,109
136,11356,QUEENS,39
137,11357,QUEENS,99
138,11358,QUEENS,36
139,11360,QUEENS,16
140,11361,QUEENS,68
141,11362,QUEENS,12
142,11363,QUEENS,5
143,11364,QUEENS,32
144,11365,QUEENS,38
145,11366,QUEENS,12
146,11367,QUEENS,38
147,11368,QUEENS,193
148,11369,QUEENS,63
149,11370,QUEENS,71
150,11372,QUEENS,200
151,11373,QUEENS,151
152,11374,QUEENS,89
153,11375,QUEENS,81
154,11377,QUEENS,236
155,11378,QUEENS,118
156,11379,QUEENS,83
157,11385,QUEENS,434
158,11411,QUEENS,61
159,11412,QUEENS,149
160,11413,QUEENS,80
161,11414,QUEENS,88
162,11415,QUEENS,31
163,11416,QUEENS,87
164,11417,QUEENS,90
165,11418,QUEENS,96
166,11419,QUEENS,115
167,11420,QUEENS,121
168,11421,QUEENS,76
169,11422,QUEENS,72
170,11423,QUEENS,63
171,11426,QUEENS,32
172,11427,QUEENS,38
173,11428,QUEENS,27
174,11429,QUEENS,64
175,11430,QUEENS,4
176,11432,QUEENS,159
177,11433,QUEENS,170
178,11434,QUEENS,169
179,11435,QUEENS,172
180,11436,QUEENS,74
181,11691,QUEENS,125
182,11692,QUEENS,37
183,11693,QUEENS,37
184,11694,QUEENS,57
185,83,MANHATTAN,11
